question_id,question_text,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3,category,difficulty,source_field,tags
Q034,What is the real name of B.o.B?,Bobby Ray Simmons Jr.,Victor James Santiago Jr.,Michael Lamar White IV,Paul Micheal Slayton,Real Name,Medium,real_name,identity
Q035,What year was Canibus born?,1974,1976,1979,1975,Birth Year,Easy,birth_year,"bio,origin"
Q036,Which city or region is Canibus associated with?,"Jamaica, Queens","Miami Gardens, FL","Charlotte, NC","St. Louis, MO",Origin,Easy,origin,location
Q037,What is the real name of Canibus?,Germaine Williams,Tobe Nwigwe,Joseph Anthony Budden II,Leslie Edward Pridgen,Real Name,Medium,real_name,identity
Q038,What year was Bone Thugs-N-Harmony born?,1991,1997,1985,1972,Birth Year,Easy,birth_year,"bio,origin"
Q039,Which city or region is Bone Thugs-N-Harmony associated with?,"Cleveland, OH","Memphis, TN","Rockville, MD","Winston-Salem, NC",Origin,Easy,origin,location
Q040,What is the real name of Bone Thugs-N-Harmony?,"Lazy, Krayzie, Bizzy, Wish, and Flesh-n-Bone",Aubrey Drake Graham,Caresha Romeka Brownlee,Michael Eagle II,Real Name,Medium,real_name,identity
Q041,What year was Foxy Brown born?,1978,1971,1974,1986,Birth Year,Easy,birth_year,"bio,origin"
Q042,Which city or region is Foxy Brown associated with?,"Brooklyn, NY","Queens, NY","Port Arthur, TX","Ithaca, NY",Origin,Easy,origin,location
Q043,What is the real name of Foxy Brown?,Inga DeCarlo Fung Marchand,Shad Gregory Moss,Avery Marcel Joshua Jones,Angel Del Villar II,Real Name,Medium,real_name,identity
Q044,What year was Lil Tecca born?,2002,1997,1984,1960,Birth Year,Easy,birth_year,"bio,origin"
Q045,Which city or region is Lil Tecca associated with?,"Queens, NY","Oxnard, CA","Washington, D.C.","Fayetteville, NC",Origin,Easy,origin,location
Q046,What is the real name of Lil Tecca?,Tyler-Justin Anthony Sharpe,Destin Choice Route,"Q-Tip, Phife Dawg","Phonte, Rapper Big Pooh",Real Name,Medium,real_name,identity
Q047,What year was Denzel Curry born?,1995,1958,1967,1966,Birth Year,Easy,birth_year,"bio,origin"
Q048,Which city or region is Denzel Curry associated with?,"Miami Gardens, FL","Raleigh, NC","Snow Hill, NC","Kansas City, MO",Origin,Easy,origin,location
Q049,What is the real name of Denzel Curry?,Denzel Rae Don Curry,Quincy Matthew Hanley,Mason Durell Betha,Durk Derrick Banks,Real Name,Medium,real_name,identity
Q050,What year was Lady London born?,1995,2001,1989,1978,Birth Year,Easy,birth_year,"bio,origin"
Q051,Which city or region is Lady London associated with?,"Harlem, NY","Oxnard, CA","Cheltenham Township, PA","London, ON",Origin,Easy,origin,location
Q052,What is the real name of Lady London?,Zaire Stewart,Simmie Sims III,Quavious Keyate Marshall,Clifford Smith Jr.,Real Name,Medium,real_name,identity
Q053,What year was Marlon Craft born?,1993,1994,1992,1977,Birth Year,Easy,birth_year,"bio,origin"
Q054,Which city or region is Marlon Craft associated with?,"Manhattan, NY","Fayetteville, NC","Irvine, CA","Hempstead, NY",Origin,Easy,origin,location
Q055,What is the real name of Marlon Craft?,Marlon Craft,Anthony Tremaine Dixson,Bryson Lashun Potts,Shéyaa Bin Abraham-Joseph,Real Name,Medium,real_name,identity
Q056,What year was Raekwon born?,1970,1971,1981,1984,Birth Year,Easy,birth_year,"bio,origin"
Q057,Which city or region is Raekwon associated with?,"Staten Island, NY","Rockville, MD","Los Angeles, CA","London, ON",Origin,Easy,origin,location
Q058,What is the real name of Raekwon?,Corey Woods,William Leonard Roberts II,Dwight Arrington Myers,Lana Michele Moorer,Real Name,Medium,real_name,identity
Q059,What year was Sean Price born?,1972,2001,1993,1975,Birth Year,Easy,birth_year,"bio,origin"
Q060,Which city or region is Sean Price associated with?,"Brooklyn, NY","South Orange, NJ","Tampa, FL","Cape Town, South Africa",Origin,Easy,origin,location
Q061,What is the real name of Sean Price?,Sean Duval Price,Jayson Andrew Jenkins,Keenon Dequan Ray Jackson,Reminisce Kioni Mackie,Real Name,Medium,real_name,identity
Q062,What year was El-P born?,1975,1987,1992,1998,Birth Year,Easy,birth_year,"bio,origin"
Q063,Which city or region is El-P associated with?,"New York City, NY","Atlanta, GA","Chattanooga, TN","New Orleans, LA",Origin,Easy,origin,location
Q064,What is the real name of El-P?,Jaime Stuart Meline,DeAndre Cortez Way,"Pusha T, Malice",Brian Daniel Carenard,Real Name,Medium,real_name,identity
Q065,What year was LaRussell born?,1987,1986,2002,2008,Birth Year,Easy,birth_year,"bio,origin"
Q066,Which city or region is LaRussell associated with?,"Vallejo, CA","Snow Hill, NC","Portland, OR","Staten Island, NY",Origin,Easy,origin,location
Q067,What is the real name of LaRussell?,Russell Santiago,David Andrew Burd,Nasir bin Olu Dara Jones,Isaiah Rashad Joel McClain,Real Name,Medium,real_name,identity
Q068,What year was Smino born?,1991,1971,1980,1969,Birth Year,Easy,birth_year,"bio,origin"
Q069,Which city or region is Smino associated with?,"St. Louis, MO","Worcester, MA","Durham, NC","Canton, OH",Origin,Easy,origin,location
Q070,What is the real name of Smino?,Christopher Smith Jr.,Lauryn Noelle Hill,Quavious Keyate Marshall,John R. Austin II,Real Name,Medium,real_name,identity
Q071,What year was JT born?,1992,1994,2008,2000,Birth Year,Easy,birth_year,"bio,origin"
Q072,Which city or region is JT associated with?,"Miami, FL","Bay Area, CA","Morrisville, PA","Saint James, Trinidad and Tobago",Origin,Easy,origin,location
Q073,What is the real name of JT?,Jatavia Shakara Johnson,William Leonard Roberts II,Jason Powers,Jon Kevin Freeman Jr.,Real Name,Medium,real_name,identity
Q074,What year was Big Pun born?,1971,1979,1966,1993,Birth Year,Easy,birth_year,"bio,origin"
Q075,Which city or region is Big Pun associated with?,"The Bronx, NY","Manhattan, NY","Carson, CA","Mobile, AL",Origin,Easy,origin,location
Q076,What is the real name of Big Pun?,Christopher Lee Rios,Bobby Ray Simmons Jr.,Mach-Hommy,Jordan Michael Houston III,Real Name,Medium,real_name,identity
Q077,What year was Jon Connor born?,1985,1991,1975,1977,Birth Year,Easy,birth_year,"bio,origin"
Q078,Which city or region is Jon Connor associated with?,"Flint, MI","Vallejo, CA",Virginia,"Corona, Queens",Origin,Easy,origin,location
Q079,What is the real name of Jon Connor?,Jon Kevin Freeman Jr.,Fatimah Nyeema Warner,Lawrence Parker,Herbert Anthony Stevens IV,Real Name,Medium,real_name,identity
Q080,What year was Evidence born?,1976,1980,1986,1977,Birth Year,Easy,birth_year,"bio,origin"
Q081,Which city or region is Evidence associated with?,"Los Angeles, CA","Clarksdale, MS","Cleveland, OH","Edwards Air Force Base, CA",Origin,Easy,origin,location
Q082,What is the real name of Evidence?,Michael Taylor Perretta,André 3000 & Big Boi,Dominique Armani Jones,Eric Tyrone Breed,Real Name,Medium,real_name,identity
Q083,What year was Anderson .Paak born?,1986,1977,2001,1958,Birth Year,Easy,birth_year,"bio,origin"
Q084,Which city or region is Anderson .Paak associated with?,"Oxnard, CA","Washington, D.C.","Edwards Air Force Base, CA","Pittsburgh, PA",Origin,Easy,origin,location
Q085,What is the real name of Anderson .Paak?,Brandon Paak Anderson,"Bun B, Pimp C",John R. Austin II,Jayceon Terrell Taylor,Real Name,Medium,real_name,identity
Q086,What year was De La Soul born?,1968,1976,1972,1993,Birth Year,Easy,birth_year,"bio,origin"
Q087,Which city or region is De La Soul associated with?,"Long Island, NY","Vallejo, CA","Gadsden, AL","Compton, CA",Origin,Easy,origin,location
Q088,What is the real name of De La Soul?,"Posdnuos, Trugoy, Maseo","stic.man, M-1",Wesley Eric Weston Jr.,Robert Rihmeek Williams,Real Name,Medium,real_name,identity
Q089,What year was Lil Yachty born?,1997,1982,2008,1967,Birth Year,Easy,birth_year,"bio,origin"
Q090,Which city or region is Lil Yachty associated with?,"Mableton, GA","Virginia Beach, VA","Spanish Harlem, NY","Kansas City, MO",Origin,Easy,origin,location
Q091,What is the real name of Lil Yachty?,Miles Parks McCollum,John Lucks,Thebe Neruda Kgositsile,Rakim Athelaston Mayers,Real Name,Medium,real_name,identity
Q092,What year was Lil Flip born?,1981,1978,1999,1987,Birth Year,Easy,birth_year,"bio,origin"
Q093,Which city or region is Lil Flip associated with?,"Houston, TX","Wiesbaden, Germany","Ithaca, NY","Columbus, OH",Origin,Easy,origin,location
Q094,What is the real name of Lil Flip?,Wesley Eric Weston Jr.,Joseph Antonio Cartagena,Aaron Bernard Tyler,Jeffrey Bruce Atkins,Real Name,Medium,real_name,identity
Q095,What year was Young M.A born?,1992,1967,1987,1980,Birth Year,Easy,birth_year,"bio,origin"
Q096,Which city or region is Young M.A associated with?,"Brooklyn, NY","Harlem, NY","Spanish Harlem, NY","Oakland, CA",Origin,Easy,origin,location
Q097,What is the real name of Young M.A?,Katorah Kasanova Marrero,Derek Keith Barbosa,Christopher Brian Bridges,Jayson Andrew Jenkins,Real Name,Medium,real_name,identity
Q098,What year was Slick Rick born?,1965,1993,1968,1995,Birth Year,Easy,birth_year,"bio,origin"
Q099,Which city or region is Slick Rick associated with?,"Mitcham, London","Oakland, CA","Cheltenham Township, PA","Port Arthur, TX",Origin,Easy,origin,location
Q100,What is the real name of Slick Rick?,Richard Martin Lloyd Walters,Kamaiyah Jamesha Johnson,Clifford Smith Jr.,Shadrach Kabango,Real Name,Medium,real_name,identity
Q101,What year was J. Cole born?,1985,1976,1968,1983,Birth Year,Easy,birth_year,"bio,origin"
Q102,Which city or region is J. Cole associated with?,"Fayetteville, NC","Washington, D.C.","Port Arthur, TX","New York City, NY",Origin,Easy,origin,location
Q103,What is the real name of J. Cole?,Jermaine Lamarr Cole,Stanley Kirk Burrell,Ian Matthias Bavitz,Christopher George Latore Wallace,Real Name,Medium,real_name,identity
Q104,What year was Earl Sweatshirt born?,1994,1984,1998,1985,Birth Year,Easy,birth_year,"bio,origin"
Q105,Which city or region is Earl Sweatshirt associated with?,"Los Angeles, CA","Fresno, CA","South Orange, NJ","London, ON",Origin,Easy,origin,location
Q106,What is the real name of Earl Sweatshirt?,Thebe Neruda Kgositsile,Jaime Stuart Meline,Jane Chika Oranika,Nayvadius DeMun Wilburn,Real Name,Medium,real_name,identity
Q107,What year was Childish Gambino born?,1983,1988,1997,1982,Birth Year,Easy,birth_year,"bio,origin"
Q108,Which city or region is Childish Gambino associated with?,"Edwards Air Force Base, CA","Carson, CA","East Orange, NJ","Charlotte, NC",Origin,Easy,origin,location
Q109,What is the real name of Childish Gambino?,Donald McKinley Glover Jr.,Dwight Equan Grant,Dominick Antron Wickliffe,Christopher George Latore Wallace,Real Name,Medium,real_name,identity
Q110,What year was Fabolous born?,1977,1988,1965,1958,Birth Year,Easy,birth_year,"bio,origin"
Q111,Which city or region is Fabolous associated with?,"Brooklyn, NY","Washington, D.C.","Newark, NJ","Mitcham, London",Origin,Easy,origin,location
Q112,What is the real name of Fabolous?,John David Jackson,Derek Keith Barbosa,Brandon Paak Anderson,David Lawrence Brewster Jr.,Real Name,Medium,real_name,identity
Q113,What year was Action Bronson born?,1983,2008,1971,1984,Birth Year,Easy,birth_year,"bio,origin"
Q114,Which city or region is Action Bronson associated with?,"New York City, NY","Brookhaven, MS","Wiesbaden, Germany","Durham, NC",Origin,Easy,origin,location
Q115,What is the real name of Action Bronson?,Ariyan Arslani,Johnathan Jamall Porter,Mason Durell Betha,Wesley Eric Weston Jr.,Real Name,Medium,real_name,identity
Q116,What year was Noname born?,1991,2008,1986,1967,Birth Year,Easy,birth_year,"bio,origin"
Q117,Which city or region is Noname associated with?,"Chicago, IL","Watts, CA","Meridian, MS","Minot, ND",Origin,Easy,origin,location
Q118,What is the real name of Noname?,Fatimah Nyeema Warner,Jason Green,Paul Micheal Slayton,Simmie Sims III,Real Name,Medium,real_name,identity
Q119,What year was Master P born?,1967,1987,1999,1977,Birth Year,Easy,birth_year,"bio,origin"
Q120,Which city or region is Master P associated with?,"New Orleans, LA","Corona, Queens","Oakland, CA","Houston, TX",Origin,Easy,origin,location
Q121,What is the real name of Master P?,Percy Robert Miller Sr.,Terrence LeVarr Thornton,Tsidi Ibrahim,Mach-Hommy,Real Name,Medium,real_name,identity
Q122,What year was Gangsta Boo born?,1979,1971,1987,1999,Birth Year,Easy,birth_year,"bio,origin"
Q123,Which city or region is Gangsta Boo associated with?,"Memphis, TN","Snow Hill, NC","Columbus, OH","Gadsden, AL",Origin,Easy,origin,location
Q124,What is the real name of Gangsta Boo?,Lola Chantrelle Mitchell,Vincent Jamal Staples,Symere Bysil Woods,Kamaal Ibn John Fareed,Real Name,Medium,real_name,identity
Q125,What year was Boosie Badazz born?,1982,1991,1960,1965,Birth Year,Easy,birth_year,"bio,origin"
Q126,Which city or region is Boosie Badazz associated with?,"Baton Rouge, LA","Pompano Beach, FL","Columbus, OH","Mount Vernon, NY",Origin,Easy,origin,location
Q127,What is the real name of Boosie Badazz?,Torrence Ivy Hatch Jr.,Troy Donald Jamerson,Coi Leray Collins,"Salt, Pepa",Real Name,Medium,real_name,identity
Q128,What year was A Tribe Called Quest born?,1985,1995,1967,1994,Birth Year,Easy,birth_year,"bio,origin"
Q129,Which city or region is A Tribe Called Quest associated with?,"Queens, NY","Fayetteville, NC","Mitcham, London","South Gate, CA",Origin,Easy,origin,location
Q130,What is the real name of A Tribe Called Quest?,"Q-Tip, Phife Dawg",Amir Elkhalifa,Brian Daniel Carenard,Christopher George Latore Wallace,Real Name,Medium,real_name,identity
Q131,What year was Public Enemy born?,1960,1984,1979,1965,Birth Year,Easy,birth_year,"bio,origin"
Q132,Which city or region is Public Enemy associated with?,"Long Island, NY","Edwards Air Force Base, CA","Snow Hill, NC","Inglewood, CA",Origin,Easy,origin,location
Q133,What is the real name of Public Enemy?,"Chuck D, Flavor Flav","Rio Loz, Ras Austin, Taj Austin, Eric Jamal",Michael Lawrence Tyler,Jason Terrance Phillips,Real Name,Medium,real_name,identity
Q134,What year was J Dilla born?,1974,1989,1967,1988,Birth Year,Easy,birth_year,"bio,origin"
Q135,Which city or region is J Dilla associated with?,"Detroit, MI","Baton Rouge, LA","Morrisville, PA","Memphis, TN",Origin,Easy,origin,location
Q136,What is the real name of J Dilla?,James Dewitt Yancey,Brian Daniel Carenard,"Q-Tip, Phife Dawg",Jermaine Lamarr Cole,Real Name,Medium,real_name,identity
Q137,What year was Black Milk born?,1982,2002,1987,1998,Birth Year,Easy,birth_year,"bio,origin"
Q138,Which city or region is Black Milk associated with?,"Detroit, MI","New York, NY","Savannah, GA","San Francisco, CA",Origin,Easy,origin,location
Q139,What is the real name of Black Milk?,Curtis Eugene Cross,Nathaniel Thomas Wilson,Shad Gregory Moss,Felipe Andres Coronel,Real Name,Medium,real_name,identity
Q140,What year was David Banner born?,1974,1988,1978,1984,Birth Year,Easy,birth_year,"bio,origin"
Q141,Which city or region is David Banner associated with?,"Brookhaven, MS","Flint, MI","Bronx, NY","Long Beach, CA",Origin,Easy,origin,location
Q142,What is the real name of David Banner?,Lavell William Crump,Shamele Mackie,Jason Douglas Newman,Derek Keith Barbosa,Real Name,Medium,real_name,identity
Q143,What year was Juice WRLD born?,1998,1962,1977,1974,Birth Year,Easy,birth_year,"bio,origin"
Q144,Which city or region is Juice WRLD associated with?,"Chicago, IL","South Orange, NJ","Winston-Salem, NC","Bay Area, CA",Origin,Easy,origin,location
Q145,What is the real name of Juice WRLD?,Jarad Anthony Higgins,Jermaine Lamarr Cole,Calvin Cordozar Broadus Jr.,Patrick Earl Houston,Real Name,Medium,real_name,identity
Q146,What year was Cardi B born?,1992,1981,2002,1983,Birth Year,Easy,birth_year,"bio,origin"
Q147,Which city or region is Cardi B associated with?,"Bronx, NY","Tampa, FL","Vallejo, CA","Jamaica, Queens",Origin,Easy,origin,location
Q148,What is the real name of Cardi B?,Belcalis Marlenis Almánzar,Clifford Joseph Harris Jr.,Ryan Daniel Montgomery,Lakeyah Danaee Robinson,Real Name,Medium,real_name,identity
Q149,What year was Talib Kweli born?,1975,1980,1989,1999,Birth Year,Easy,birth_year,"bio,origin"
Q150,Which city or region is Talib Kweli associated with?,"Brooklyn, NY","Port Arthur, TX","Oxnard, CA","Los Angeles, CA",Origin,Easy,origin,location
Q151,What is the real name of Talib Kweli?,Talib Kweli Greene,Michael Taylor Perretta,"Salt, Pepa",John Ancrum,Real Name,Medium,real_name,identity
Q152,What year was Jim Jones born?,1976,1972,1967,1998,Birth Year,Easy,birth_year,"bio,origin"
Q153,Which city or region is Jim Jones associated with?,"The Bronx, NY","Mobile, AL","Boston, MA","New York City, NY",Origin,Easy,origin,location
Q154,What is the real name of Jim Jones?,Joseph Guillermo Jones II,John Lucks,Talib Kweli Greene,Destin Choice Route,Real Name,Medium,real_name,identity
Q155,What year was T.I. born?,1980,1970,2002,1973,Birth Year,Easy,birth_year,"bio,origin"
Q156,Which city or region is T.I. associated with?,"Atlanta, GA","Yonkers, NY","Brookhaven, MS","Minneapolis, Minnesota",Origin,Easy,origin,location
Q157,What is the real name of T.I.?,Clifford Joseph Harris Jr.,Sean Michael Leonard Anderson,"Big Gipp, CeeLo Green, Khujo, T-Mo",John David Jackson,Real Name,Medium,real_name,identity
Q158,What year was Jack Harlow born?,1998,1962,1985,1984,Birth Year,Easy,birth_year,"bio,origin"
Q159,Which city or region is Jack Harlow associated with?,"Louisville, KY","Inglewood, CA","South Orange, NJ","Hempstead, NY",Origin,Easy,origin,location
Q160,What is the real name of Jack Harlow?,Jackman Thomas Harlow,Sir Robert Bryson Hall II,David Andrew Burd,Willard Carroll Smith Jr.,Real Name,Medium,real_name,identity
Q161,What year was AZ born?,1972,1960,1979,1968,Birth Year,Easy,birth_year,"bio,origin"
Q162,Which city or region is AZ associated with?,"Brooklyn, NY","Tampa, FL","Manhattan, NY","Miami Gardens, FL",Origin,Easy,origin,location
Q163,What is the real name of AZ?,Anthony Cruz,Kenyatta Lee Frazier Jr.,Ariyan Arslani,Jason Green,Real Name,Medium,real_name,identity
Q164,What year was Megan Thee Stallion born?,1995,1988,2008,1978,Birth Year,Easy,birth_year,"bio,origin"
Q165,Which city or region is Megan Thee Stallion associated with?,"San Antonio, TX","Murfreesboro, TN","Fayetteville, NC","Staten Island, NY",Origin,Easy,origin,location
Q166,What is the real name of Megan Thee Stallion?,Megan Jovon Ruth Pete,Jeffrey James Sidhoo,"Q-Tip, Phife Dawg",Tsidi Ibrahim,Real Name,Medium,real_name,identity
Q167,What year was Daylyt born?,1987,1968,1966,1988,Birth Year,Easy,birth_year,"bio,origin"
Q168,Which city or region is Daylyt associated with?,"Watts, CA","Memphis, TN","Brownsville, Brooklyn","Carson, CA",Origin,Easy,origin,location
Q169,What is the real name of Daylyt?,Terelle Smith,Michael Lawrence Tyler,Reginald Noble,Tauheed K. Epps,Real Name,Medium,real_name,identity
Q170,What year was Mac Dre born?,1970,1989,1976,1973,Birth Year,Easy,birth_year,"bio,origin"
Q171,Which city or region is Mac Dre associated with?,"Oakland, CA","Clarksdale, MS","St. Louis, MO","Winston-Salem, NC",Origin,Easy,origin,location
Q172,What is the real name of Mac Dre?,Andre Louis Hicks,Derek Keith Barbosa,"Chuck D, Flavor Flav",Jason S Hunter,Real Name,Medium,real_name,identity
Q173,What year was Joe Budden born?,1980,1977,1978,1984,Birth Year,Easy,birth_year,"bio,origin"
Q174,Which city or region is Joe Budden associated with?,"Spanish Harlem, NY","Atlanta, GA","Saint James, Trinidad and Tobago","Baltimore, MD",Origin,Easy,origin,location
Q175,What is the real name of Joe Budden?,Joseph Anthony Budden II,"Taboo, will.i.am, APL.DE.AP",Torrence Ivy Hatch Jr.,Nashid Sulaiman,Real Name,Medium,real_name,identity
Q176,What year was Jadakiss born?,1975,1974,1973,1978,Birth Year,Easy,birth_year,"bio,origin"
Q177,Which city or region is Jadakiss associated with?,"Yonkers, NY","Long Beach, CA","Philadelphia, PA","Hempstead, NY",Origin,Easy,origin,location
Q178,What is the real name of Jadakiss?,Jason Terrance Phillips,Clifford Joseph Harris Jr.,Tracy Lauren Marrow,Curtis Eugene Cross,Real Name,Medium,real_name,identity
Q179,What year was Lupe Fiasco born?,1982,1971,1958,1992,Birth Year,Easy,birth_year,"bio,origin"
Q180,Which city or region is Lupe Fiasco associated with?,"Chicago, IL","Mobile, AL","Tampa, FL","Inglewood, CA",Origin,Easy,origin,location
Q181,What is the real name of Lupe Fiasco?,Wasalu Muhammad Jaco,Carlos Coleman,Justin Lewis Scott,John Lucks,Real Name,Medium,real_name,identity
Q182,What year was Xzibit born?,1974,1972,1997,1991,Birth Year,Easy,birth_year,"bio,origin"
Q183,Which city or region is Xzibit associated with?,"Detroit, MI","Jamaica, Queens","Cape Town, South Africa","Savannah, GA",Origin,Easy,origin,location
Q184,What is the real name of Xzibit?,Alvin Nathaniel Joiner,Jeffrey James Sidhoo,Shadrach Kabango,Asher Paul Roth,Real Name,Medium,real_name,identity
Q185,What year was Logic born?,1990,2000,2001,1958,Birth Year,Easy,birth_year,"bio,origin"
Q186,Which city or region is Logic associated with?,"Rockville, MD","Cape Town, South Africa","Carson, CA","Milwaukee, WI",Origin,Easy,origin,location
Q187,What is the real name of Logic?,Sir Robert Bryson Hall II,Katrina Laverne Taylor,DeAndre Cortez Way,Shéyaa Bin Abraham-Joseph,Real Name,Medium,real_name,identity
Q188,What year was Young Thug born?,1991,1978,1994,1999,Birth Year,Easy,birth_year,"bio,origin"
Q189,Which city or region is Young Thug associated with?,"Atlanta, GA","Baltimore, MD","Morrisville, PA","Carson, CA",Origin,Easy,origin,location
Q190,What is the real name of Young Thug?,Jeffery Lamar Williams,Miles Parks McCollum,Various Artists,John Ancrum,Real Name,Medium,real_name,identity
Q191,What year was Da Brat born?,1974,1994,1967,1973,Birth Year,Easy,birth_year,"bio,origin"
Q192,Which city or region is Da Brat associated with?,"Chicago, IL","New York City, NY","San Antonio, TX","Canton, OH",Origin,Easy,origin,location
Q193,What is the real name of Da Brat?,Shawntae Harris-Dupart,Marshall Bruce Mathers III,Corey Woods,Ariyan Arslani,Real Name,Medium,real_name,identity
Q194,What year was Quavo born?,1991,1969,2000,1977,Birth Year,Easy,birth_year,"bio,origin"
Q195,Which city or region is Quavo associated with?,"Atlanta, GA","Rockville, MD","Milwaukee, WI","New Orleans, LA",Origin,Easy,origin,location
Q196,What is the real name of Quavo?,Quavious Keyate Marshall,Marshall Bruce Mathers III,Reginald Noble,Clifford Smith Jr.,Real Name,Medium,real_name,identity
Q197,What year was Ras Kass born?,1973,1992,1983,1966,Birth Year,Easy,birth_year,"bio,origin"
Q198,Which city or region is Ras Kass associated with?,"Carson, CA","Clarksdale, MS","Long Island, NY","New York City, NY",Origin,Easy,origin,location
Q199,What is the real name of Ras Kass?,John R. Austin II,Ariyan Arslani,Bashir Yagami,"Salt, Pepa",Real Name,Medium,real_name,identity
Q200,What year was Goodie Mob born?,1991,1960,1998,2001,Birth Year,Easy,birth_year,"bio,origin"
Q201,Which city or region is Goodie Mob associated with?,"Atlanta, GA","The Bronx, NY","Cordova, TN","Gadsden, AL",Origin,Easy,origin,location
Q202,What is the real name of Goodie Mob?,"Big Gipp, CeeLo Green, Khujo, T-Mo",Asher Paul Roth,Amir Elkhalifa,Bryson Lashun Potts,Real Name,Medium,real_name,identity
Q203,What year was Yasiin Bey born?,1973,1972,1997,1975,Birth Year,Easy,birth_year,"bio,origin"
